time,duration,source_ip,destination_ip,protocol,packet_len,dif_serv,flag,ip_vers,src_port,dst_port,data_len,seq,seq_raw,next_seq,ack,ack_raw,flags_res,flags_ns,flags_cwr,flags_ecn,flags_urg,flags_ack,flags_push,flags_reset,flags_syn,flags_fin,win_size,checksum,checksum_status,urgent_pointer,proto_type,proto_size,hw_type,hw_size,hw_opcode,src_hw_mac,dst_hw_mac
1.059112,0.050914049,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,1.47E-07,0.563200316,1.47E-07,8.12E-06,0.719956274,0,0,0,0,0,1,0,0,0,0,0.770428016,0.597390707,2,0,0,0,0,0,0,0,0
1.059148,3.60E-05,0.039062574,0.140407403,0.023529412,0.001281758,0,64,0.666666667,0.023025864,0.138735027,0.000457771,8.12E-06,0.719956274,8.13E-06,1.47E-07,0.563200316,0,0,0,0,0,1,1,0,0,0,0.007858396,0.996688792,2,0,0,0,0,0,0,0,0
0,0.028396845,0.039062574,0.937499999,0.066666667,0.002548257,0,0,0.666666667,0.766491188,0.028992142,0.00202945,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.041016251,2,0.5,0,0,0,0,0,0,0
1.119512,0.031967163,0.140407403,0.039062574,0.023529412,0.002197299,0,64,0.666666667,0.138735027,0.023025864,0.001373312,1.47E-07,0.563200316,1.68E-07,8.13E-06,0.719956281,0,0,0,0,0,1,1,0,0,0,0.770428016,0.937621118,2,0,0,0,0,0,0,0,0
1.135883,0.016371012,0.039062574,0.140407403,0.023529412,0.003356985,0,64,0.666666667,0.023025864,0.138735027,0.002532998,8.13E-06,0.719956281,8.17E-06,1.68E-07,0.563200337,0,0,0,0,0,1,1,0,0,0,0.007858396,0.34618143,2,0,0,0,0,0,0,0,0
1.136063,0.000180006,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,8.17E-06,0.719956319,8.50E-06,1.68E-07,0.563200337,0,0,0,0,0,1,0,0,0,0,0.007858396,0.040115969,2,0,0,0,0,0,0,0,0
1.136063,0,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,8.50E-06,0.71995665,8.83E-06,1.68E-07,0.563200337,0,0,0,0,0,1,0,0,0,0,0.007858396,0.830029755,2,0,0,0,0,0,0,0,0
1.136063,0,0.039062574,0.140407403,0.023529412,0.02105745,0,64,0.666666667,0.023025864,0.138735027,0.020233463,8.83E-06,0.71995698,9.14E-06,1.68E-07,0.563200337,0,0,0,0,0,1,1,0,0,0,0.007858396,0.776546883,2,0,0,0,0,0,0,0,0
1.227271,0.091207981,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,1.68E-07,0.563200337,1.68E-07,9.14E-06,0.719957289,0,0,0,0,0,1,0,0,0,0,0.750988022,0.548897536,2,0,0,0,0,0,0,0,0
1.227308,3.70E-05,0.039062574,0.140407403,0.023529412,0.001281758,0,64,0.666666667,0.023025864,0.138735027,0.000457771,9.14E-06,0.719957289,9.14E-06,1.68E-07,0.563200337,0,0,0,0,0,1,1,0,0,0,0.007858396,0.376897841,2,0,0,0,0,0,0,0,0
